Period	Data_value	Type
2007.03	1.58	6
2007.04	1.6	6
2007.05	1.48	6
2007.06	1.59	6
2007.07	1.52	6
2007.08	1.49	6
2007.09	1.65	6
2007.1	1.48	6
2007.11	1.53	6
2007.12	1.43	6
2008.01	1.49	6
2008.02	1.54	6
2008.03	1.63	6
2008.04	1.57	6
2008.05	1.54	6
2008.06	1.53	6
2008.07	1.3	6
2008.08	1.47	6
2008.09	1.58	6
2008.1	1.43	6
2008.11	1.55	6
2008.12	1.46	6
2009.01	1.48	6
2009.02	1.5	6
2009.03	1.57	6
2009.04	1.58	6
2009.05	1.67	6
2009.06	1.74	6
2009.07	1.65	6
2009.08	1.63	6
2009.09	1.73	6
2009.1	1.41	6
2009.11	1.6	6
2009.12	1.59	6
2010.01	1.59	6
2010.02	1.73	6
2010.03	1.67	6
2010.04	1.75	6
2010.05	1.68	6
2010.06	1.5	6
2010.07	1.63	6
2010.08	1.73	6
2010.09	1.68	6
2010.1	1.65	6
2010.11	1.69	6
2010.12	1.38	6
2011.01	1.57	6
2011.02	1.73	6
2011.03	1.77	6
2011.04	1.75	6
2011.05	1.59	6
2011.06	1.56	6
2011.07	1.77	6
2011.08	1.75	6
2011.09	1.64	6
2011.1	1.86	6
2011.11	1.72	6
2011.12	1.75	6
2012.01	1.75	6
2012.02	1.92	6
2012.03	1.81	6
2012.04	1.74	6
2012.05	1.72	6
2012.06	1.84	6
2012.07	1.83	6
2012.08	1.89	6
2012.09	1.85	6
2012.1	1.73	6
2012.11	1.79	6
2012.12	1.71	6
2013.01	1.89	6
2013.02	1.57	6
2013.03	1.62	6
2013.04	1.79	6
2013.05	1.9	6
2013.06	1.95	6
2013.07	1.75	6
2013.08	1.8	6
2013.09	1.87	6
2013.1	1.51	6
2013.11	1.81	6
2013.12	1.75	6
2014.01	1.61	6
2014.02	1.57	6
2014.03	1.59	6
2014.04	1.7	6
2014.05	1.67	6
2014.06	1.82	6
2014.07	1.67	6
2014.08	1.79	6
2014.09	1.62	6
2014.1	1.7	6
2014.11	1.76	6
2014.12	1.73	6
2015.01	1.59	6
2015.02	1.64	6
2015.03	1.8	6
2015.04	1.71	6
2015.05	1.87	6
2015.06	1.63	6
2015.07	1.71	6
2015.08	1.66	6
2015.09	1.84	6
2015.1	1.57	6
2015.11	1.56	6
2015.12	1.62	6
2016.01	1.53	6
2016.02	1.72	6
2016.03	1.72	6
2016.04	1.75	6
2016.05	1.74	6
2016.06	1.82	6
2016.07	1.54	6
2016.08	1.85	6
2016.09	1.76	6
2016.1	1.44	6
2016.11	1.53	6
2016.12	1.35	6
2017.01	1.65	6
2017.02	1.64	6
2017.03	1.62	6
2017.04	1.53	6
2017.05	1.66	6
2017.06	1.57	6
2017.07	1.56	6
2017.08	1.65	6
2017.09	1.59	6
2017.1	1.39	6
2017.11	1.58	6
2017.12	1.44	6
2018.01	1.67	6
2018.02	1.55	6
2018.03	1.59	6
2018.04	1.61	6
2018.05	1.65	6
2018.06	1.47	6
2018.07	1.33	6
2018.08	1.57	6
2006.06	6.81	7
2006.07	8.49	7
2006.08	4.7	7
2006.09	4.04	7
2006.1	2.46	7
2006.11	1.95	7
2006.12	2.2	7
2007.01	2.22	7
2007.02	2.3	7
2007.03	2.26	7
2007.04	3.08	7
2007.05	3.24	7
2007.06	3.46	7
2007.07	4.31	7
2007.08	3.97	7
2007.09	3.23	7
2007.1	2.22	7
2007.11	1.81	7
2007.12	1.92	7
2008.01	1.91	7
2008.02	2.47	7
2008.03	2.62	7
2008.04	3.04	7
2008.05	4.09	7
2008.06	5.5	7
2008.07	7.29	7
2008.08	9.73	7
2008.09	7.73	7
2008.1	3.8	7
2008.11	2.57	7
2008.12	2.12	7
2009.01	2.19	7
2009.02	2.28	7
2009.03	3.55	7
2009.04	3.31	7
2009.05	2.68	7
2009.06	5.98	7
2009.07	8.47	7
2009.08	8.18	7
2009.09	4.86	7
2009.1	2.57	7
2009.11	2.6	7
2009.12	2.68	7
2010.01	2.22	7
2010.02	2.22	7
2010.03	2.69	7
2010.04	2.54	7
2010.05	2.37	7
2010.06	4.2	7
2010.07	6.09	7
2010.08	5.93	7
2010.09	6.74	7
2010.1	5.57	7
2010.11	3.65	7
2010.12	2.93	7
2011.01	4.35	7
2011.02	4.26	7
2011.03	4.45	7
2011.04	3.75	7
2011.05	5.45	7
2011.06	7.79	7
2011.07	9.4	7
2011.08	8.55	7
2011.09	5.75	7
2011.1	3.63	7
2011.11	2.45	7
2011.12	2.36	7
2012.01	2.93	7
2012.02	2.8	7
2012.03	2.8	7
2012.04	3.92	7
2012.05	3.88	7
2012.06	4.53	7
2012.07	6.39	7
2012.08	5.21	7
2012.09	4.58	7
2012.1	3.33	7
2012.11	2.62	7
2012.12	2.3	7
2013.01	2.77	7
2013.02	3.65	7
2013.03	3.56	7
2013.04	3.07	7
2013.05	4.23	7
2013.06	6.56	7
2013.07	9.18	7
2013.08	6.73	7
2013.09	3.74	7
2013.1	2.61	7
2013.11	2.85	7
2013.12	2.55	7
2014.01	2.78	7
2014.02	2.71	7
2014.03	2.79	7
2014.04	3.01	7
2014.05	5.65	7
2014.06	6.33	7
2014.07	6.73	7
2014.08	8.23	7
2014.09	4.08	7
2014.1	3.11	7
2014.11	2.84	7
2014.12	2.38	7
2015.01	3.04	7
2015.02	3	7
2015.03	3.35	7
2015.04	3.35	7
2015.05	4.21	7
2015.06	6.23	7
2015.07	9.01	7
2015.08	8.87	7
2015.09	5.78	7
2015.1	3.99	7
2015.11	2.76	7
2015.12	2.15	7
2016.01	2.6	7
2016.02	2.93	7
2016.03	4.38	7
2016.04	4.29	7
2016.05	4.23	7
2016.06	5.53	7
2016.07	8.17	7
2016.08	9.16	7
2016.09	7.78	7
2016.1	4.34	7
2016.11	3.35	7
2016.12	2.94	7
2017.01	2.83	7
2017.02	3.59	7
2017.03	4.29	7
2017.04	6.21	7
2017.05	10.56	7
2017.06	7.42	7
2017.07	6.59	7
2017.08	7.09	7
2017.09	5.17	7
2017.1	3.84	7
2017.11	3.16	7
2017.12	2.63	7
2018.01	2.64	7
2018.02	4.51	7
2018.03	5.87	7
2018.04	3.42	7
2018.05	3.29	7
2018.06	6.13	7
2018.07	10.83	7
2018.08	6.52	7
2006.06	7.03	8
2006.07	8.68	8
2006.08	6.45	8
2006.09	8.01	8
2006.1	6.5	8
2006.11	3.92	8
2006.12	3.26	8
2007.01	3.79	8
2007.02	4.19	8
2007.03	4.11	8
2007.04	3.96	8
2007.05	3.78	8
2007.06	3.1	8
2007.07	4.78	8
2007.08	4.22	8
2007.09	4.38	8
2007.1	5.67	8
2007.11	3.84	8
2007.12	2.86	8
2008.01	3.18	8
2008.02	3.87	8
2008.03	4.38	8
2008.04	4.03	8
2008.05	5.54	8
2008.06	5.8	8
2008.07	6.5	8
2008.08	7.69	8
2008.09	9.22	8
2008.1	7.72	8
2008.11	5.85	8
2008.12	3.2	8
2009.01	4.64	8
2009.02	4.78	8
2009.03	4.86	8
2009.04	4.03	8
2009.05	4.77	8
2009.06	6.49	8
2009.07	7.4	8
2009.08	5.79	8
2009.09	5.24	8
2009.1	7.24	8
2009.11	3.51	8
2009.12	3.42	8
2010.01	4.65	8
2010.02	4.01	8
2010.03	5.23	8
2010.04	4.44	8
2010.05	3.41	8
2010.06	4.58	8
2010.07	6.33	8
2010.08	5.56	8
2010.09	8.3	8
2010.1	10.12	8
2010.11	5.54	8
2010.12	4.79	8
2011.01	5.23	8
2011.02	5.11	8
2011.03	5.73	8
2011.04	4.81	8
2011.05	4.52	8
2011.06	5.28	8
2011.07	8.8	8
2011.08	8.89	8
2011.09	6.93	8
2011.1	6.07	8
2011.11	5.15	8
2011.12	4.27	8
2012.01	4.53	8
2012.02	4.12	8
2012.03	3.92	8
2012.04	3.5	8
2012.05	4.08	8
2012.06	6.28	8
2012.07	6.8	8
2012.08	4.48	8
2012.09	9.43	8
2012.1	8.4	8
2012.11	5.47	8
2012.12	3.79	8
2013.01	5.22	8
2013.02	4.85	8
2013.03	5.07	8
2013.04	4.37	8
2013.05	4.36	8
2013.06	4.96	8
2013.07	6.96	8
2013.08	5.5	8
2013.09	6.69	8
2013.1	7.42	8
2013.11	5.14	8
2013.12	4.66	8
2014.01	4.97	8
2014.02	4.25	8
2014.03	4.75	8
2014.04	4.89	8
2014.05	5.76	8
2014.06	6.68	8
2014.07	6.17	8
2014.08	8.04	8
2014.09	6.83	8
2014.1	7.24	8
2014.11	5.98	8
2014.12	4.81	8
2015.01	5.45	8
2015.02	6.1	8
2015.03	5.18	8
2015.04	4.65	8
2015.05	4.86	8
2015.06	5.77	8
2015.07	6.46	8
2015.08	6.73	8
2015.09	6.19	8
2015.1	6.52	8
2015.11	4.52	8
2015.12	4.24	8
2016.01	5.22	8
2016.02	5.24	8
2016.03	6.37	8
2016.04	6.26	8
2016.05	5.1	8
2016.06	6.09	8
2016.07	7.21	8
2016.08	7.43	8
2016.09	7.6	8
2016.1	8.65	8
2016.11	6.54	8
2016.12	4.63	8
2017.01	6.23	8
2017.02	5.67	8
2017.03	4.93	8
2017.04	9.41	8
2017.05	10.56	8
2017.06	9.25	8
2017.07	9.43	8
2017.08	8.82	8
2017.09	6.95	8
2017.1	6.83	8
2017.11	5.06	8
2017.12	4.36	8
2018.01	5.79	8
2018.02	6.98	8
2018.03	8.35	8
2018.04	6.22	8
2018.05	5.99	8
2018.06	6.58	8
2018.07	8.16	8
2018.08	5.96	8
2006.06	1.25	9
2006.07	2.38	9
2006.08	2.4	9
2006.09	2.04	9
2006.1	2.51	9
2006.11	1.71	9
2006.12	1.11	9
2007.01	1.12	9
2007.02	1.13	9
2007.03	1.39	9
2007.04	1.3	9
2007.05	1.14	9
2007.06	1.15	9
2007.07	1.26	9
2007.08	1.13	9
2007.09	1.14	9
2007.1	1.21	9
2007.11	1.16	9
2007.12	1.14	9
2008.01	1.08	9
2008.02	1.31	9
2008.03	1.3	9
2008.04	1.42	9
2008.05	1.32	9
2008.06	1.56	9
2008.07	1.78	9
2008.08	2.82	9
2008.09	3.04	9
2008.1	2.87	9
2008.11	2.11	9
2008.12	1.68	9
2009.01	1.27	9
2009.02	1.23	9
2009.03	1.53	9
2009.04	1.81	9
2009.05	1.98	9
2009.06	2.49	9
2009.07	2.76	9
2009.08	2.02	9
2009.09	1.35	9
2009.1	2.06	9
2009.11	2.14	9
2009.12	1.31	9
2010.01	1.33	9
2010.02	1.17	9
2010.03	1.23	9
2010.04	1.35	9
2010.05	1.06	9
2010.06	1.11	9
2010.07	1.28	9
2010.08	1.38	9
2010.09	1.25	9
2010.1	2.43	9
2010.11	2.78	9
2010.12	1.85	9
2011.01	1.5	9
2011.02	1.5	9
2011.03	2.22	9
2011.04	2.12	9
2011.05	1.68	9
2011.06	1.53	9
2011.07	1.83	9
2011.08	2.58	9
2011.09	2.21	9
2011.1	1.76	9
2011.11	2.11	9
2011.12	1.41	9
2012.01	1.36	9
2012.02	1.52	9
2012.03	1.77	9
2012.04	1.6	9
2012.05	1.4	9
2012.06	1.45	9
2012.07	1.98	9
2012.08	1.67	9
2012.09	1.44	9
2012.1	1.9	9
2012.11	1.85	9
2012.12	1.53	9
2013.01	1.37	9
2013.02	1.42	9
2013.03	2.01	9
2013.04	1.68	9
2013.05	1.31	9
2013.06	1.4	9
2013.07	1.54	9
2013.08	1.76	9
2013.09	1.73	9
2013.1	1.83	9
2013.11	1.74	9
2013.12	1.61	9
2014.01	1.53	9
2014.02	1.86	9
2014.03	2.29	9
2014.04	2.04	9
2014.05	1.55	9
